pre_test_note_1,,,,,
=====
Time,Accel X,Accel Y,Accel Z,Orientation
0.9830199999999998,-15496.0,1512.0,1080.0,X-axis up
0.9873520000000005,-15620.0,1500.0,1252.0,X-axis up
0.9916879999999999,-15508.0,1440.0,1016.0,X-axis up
0.9960240000000002,-15532.0,1368.0,1152.0,X-axis up
1.0003520000000004,-15540.0,1484.0,1124.0,X-axis up
1.0046840000000001,-15484.0,1424.0,1232.0,X-axis up
1.009016,-15500.0,1428.0,1128.0,X-axis up
1.0133479999999997,-15516.0,1456.0,1172.0,X-axis up
1.0176759999999998,-15532.0,1464.0,1136.0,X-axis up
1.0219959999999997,-15648.0,1500.0,1252.0,X-axis up
1.026332,-15640.0,1484.0,1244.0,X-axis up
1.0306680000000004,-15476.0,1496.0,1160.0,X-axis up
1.0349960000000005,-15540.0,1404.0,1168.0,X-axis up
1.03932,-15560.0,1404.0,1284.0,X-axis up
1.0436519999999998,-15532.0,1420.0,1284.0,X-axis up
1.0479840000000005,-15396.0,1500.0,1140.0,X-axis up
1.05232,-15644.0,1480.0,1296.0,X-axis up
1.056648,-15472.0,1508.0,1164.0,X-axis up
1.060968,-15536.0,1464.0,1120.0,X-axis up
1.0653160000000002,-15452.0,1456.0,1156.0,X-axis up
1.0696560000000002,-15520.0,1428.0,1228.0,X-axis up
1.0739840000000003,-15528.0,1536.0,1164.0,X-axis up
1.0783040000000002,-15460.0,1540.0,1160.0,X-axis up
1.0826320000000003,-15556.0,1548.0,1200.0,X-axis up
1.0869679999999997,-15540.0,1420.0,1152.0,X-axis up
1.0912920000000002,-15628.0,1428.0,1200.0,X-axis up
1.0956159999999997,-15592.0,1456.0,1172.0,X-axis up
1.0999439999999998,-15484.0,1476.0,1164.0,X-axis up
1.1042800000000002,-15436.0,1400.0,1152.0,X-axis up
1.1086080000000003,-15612.0,1412.0,1152.0,X-axis up
1.1129360000000004,-15492.0,1460.0,1204.0,X-axis up
1.11726,-15512.0,1476.0,1200.0,X-axis up
1.1215919999999997,-15564.0,1432.0,1212.0,X-axis up
1.1259240000000004,-15572.0,1524.0,1268.0,X-axis up
1.1302520000000005,-15432.0,1420.0,1200.0,X-axis up
1.134576,-15516.0,1396.0,1292.0,X-axis up
1.1389079999999998,-15480.0,1508.0,1224.0,X-axis up
1.143236,-15492.0,1456.0,1156.0,X-axis up
1.147576,-15504.0,1400.0,1184.0,X-axis up
1.151904,-15576.0,1524.0,1168.0,X-axis up
1.1562359999999998,-15560.0,1344.0,1480.0,X-axis up
1.1605720000000002,-15560.0,1584.0,1164.0,X-axis up
1.1649000000000003,-15500.0,1376.0,1116.0,X-axis up
1.169232,-15560.0,1488.0,1000.0,X-axis up
1.1735560000000005,-15636.0,1492.0,1164.0,X-axis up
1.1778880000000003,-15568.0,1496.0,1204.0,X-axis up
1.1822239999999997,-15668.0,1544.0,1292.0,X-axis up
1.1865480000000002,-15464.0,1448.0,1144.0,X-axis up
1.1908719999999997,-15620.0,1492.0,1160.0,X-axis up
1.195208,-15468.0,1428.0,1280.0,X-axis up
1.1995360000000002,-15536.0,1516.0,1260.0,X-axis up
1.2038720000000005,-15576.0,1508.0,1096.0,X-axis up
1.2081999999999997,-15588.0,1516.0,1192.0,X-axis up
1.2125279999999998,-15640.0,1408.0,1064.0,X-axis up
1.2168679999999998,-15564.0,1500.0,1252.0,X-axis up
1.2212079999999998,-15628.0,1540.0,1200.0,X-axis up
1.225536,-15488.0,1452.0,1152.0,X-axis up
1.2298559999999998,-15536.0,1480.0,1216.0,X-axis up
1.2341920000000002,-15488.0,1508.0,1216.0,X-axis up
1.2385200000000003,-15492.0,1456.0,1224.0,X-axis up
1.2428480000000004,-15504.0,1412.0,968.0,X-axis up
1.2471360000000002,-15508.0,1448.0,1188.0,X-axis up
1.251468,-15656.0,1612.0,1180.0,X-axis up
1.255808,-15568.0,1472.0,1220.0,X-axis up
1.2601320000000005,-15548.0,1484.0,1204.0,X-axis up
1.2644599999999997,-15544.0,1508.0,1140.0,X-axis up
1.2687840000000001,-15552.0,1400.0,1212.0,X-axis up
1.273116,-15608.0,1400.0,1052.0,X-axis up
1.2774520000000003,-15560.0,1544.0,1112.0,X-axis up
1.2817800000000004,-15560.0,1516.0,1072.0,X-axis up
1.286104,-15540.0,1516.0,1164.0,X-axis up
1.2904400000000003,-15524.0,1456.0,1192.0,X-axis up
1.2947759999999997,-15496.0,1368.0,1124.0,X-axis up
1.2991080000000004,-15580.0,1536.0,1128.0,X-axis up
1.3034360000000005,-15556.0,1468.0,1136.0,X-axis up
1.3077639999999997,-15488.0,1612.0,1360.0,X-axis up
1.3121039999999997,-15580.0,1536.0,1312.0,X-axis up
1.31644,-15536.0,1472.0,1232.0,X-axis up
1.3207719999999998,-15628.0,1372.0,1212.0,X-axis up
1.3250960000000003,-15640.0,1556.0,1136.0,X-axis up
1.3294240000000004,-15540.0,1584.0,1112.0,X-axis up
1.3337520000000005,-15496.0,1472.0,1244.0,X-axis up
1.338076,-15600.0,1368.0,1268.0,X-axis up
1.3424040000000002,-15500.0,1440.0,1216.0,X-axis up
1.3467400000000005,-15484.0,1524.0,1208.0,X-axis up
1.3510679999999997,-15640.0,1448.0,1260.0,X-axis up
1.355404,-15452.0,1484.0,1100.0,X-axis up
1.359724,-15592.0,1396.0,1316.0,X-axis up
1.3640480000000004,-15580.0,1388.0,1252.0,X-axis up
1.3683839999999998,-15516.0,1448.0,1072.0,X-axis up
1.3727280000000004,-15508.0,1432.0,1096.0,X-axis up
1.3770560000000005,-15488.0,1532.0,1172.0,X-axis up
1.3813719999999998,-15500.0,1472.0,1348.0,X-axis up
1.3857040000000005,-15488.0,1384.0,1140.0,X-axis up
1.3900360000000003,-15444.0,1540.0,956.0,X-axis up
